name,status,url,title,channel,duration_s,note
Leverage Machine Shrug,matched,https://youtu.be/_Jv1wNEZW6Q,Nautilus Leverage Deadlift Shrug | Core Health and Fitness,Startrac Fitness India ,25.0,
Smith Machine Upright Row,matched,https://youtu.be/QIpa-9dtkgA,Smith Machine Upright Row,Renaissance Periodization,12.0,
Cable Rope Lat Pulldown,matched,https://youtu.be/VqSsnPSpHOU,Cable Rope Lat Pulldown,OPEX Fitness,13.0,
Dumbbell Wood Chop,matched,https://youtu.be/NYQpxPyIOD0,Dumbbell Wood Chop Low High L | Dumbbell Exercises,Dumbbell Exercises,8.0,
Cat Cow Stretch,matched,https://youtu.be/LIVJZZyZ2qM,Cat - Cow Stretch,Dr. Dawn,15.0,same video used for several exercises
Dumbbell Hamstring Curl,matched,https://youtu.be/z6MvXsikOk0,How To Do Dumbbell Hamstring Curls,PureGym,11.0,
Hack Calf Raise,matched,https://youtu.be/Cce8LrfoheY,How to Do Hack Squat Calf Raises,Mike P,25.0,
Dumbbell Incline Tricep Extension,matched,https://youtu.be/1lIJuNLRM98,How To Do An Incline Dumbbell Triceps Extension | Exercise Guide,Bodybuilding.com,23.0,
Cable Wrist Curl,matched,https://youtu.be/WVAaKJvToe0,Cable Wrist Curl,Renaissance Periodization,12.0,same video used for several exercises
Cable Shrug,matched,https://youtu.be/YykmcX2b-LY,Cable Shrug,Renaissance Periodization,9.0,
Bench Push-Up,no_match,,,,,
Barbell Wrist Curl (Palms Up),matched,https://youtu.be/x4eif6YBwtE,Exercise Videos- Barbell Wrist Curl,HyperStrike28,21.0,
Dumbbell Rear Deltoid Row,no_match,,,,,
Smith Machine Bulgarian Split Squat,matched,https://youtu.be/wmfPdzqwbIY,How to: Bulgarian Split Squat - Smith Machine,SATS Nordic,11.0,same video used for several exercises
Cable Deadlift,matched,https://youtu.be/nXa6-tzz-Ng,How To Do: Cable Deadlift | Leg Workout Exercise,Fitway - Workout Trainer,25.0,
Push-Up (Close Hand),matched,https://youtu.be/WDIpL0pjun0,How to do a Push-Up | Proper Form & Technique | NASM,National Academy of Sports Medicine (NASM),14.0,same video used for several exercises
Elevated Push-Up,matched,https://youtu.be/J21Glo_IuCI,How To : Feet Elevated Push Ups,HOME WORKOUT STUDIO,19.0,
Bench Leg Raise (Supine),matched,https://youtu.be/OKS-clRiXAI,Bench Leg Raises ‐ Quick Instructional Video,IKON Fitness,29.0,
Hack Squat (Reverse Position),matched,https://youtu.be/scs5XcsZuc8,How To Do Hack Squats On The Hack Squat Machine,PureGym,25.0,same video used for several exercises
Dumbbell Hammer Curl to Press,matched,https://youtu.be/b-6PsVq9nEU,Dumbbell Hammer Curl To Press,Functional Bodybuilding,16.0,
Pelvic Tilt to Glute Bridge,matched,https://youtu.be/olqU_WZyRSU,Glute Bridge with Pelvic Tilt,Foundation Academy: Strength & Conditioning TN,28.0,
Weighted Trunk Rotation,matched,https://youtu.be/A5mNrmjR6vA,WEIGHTED TRUNK ROTATION GOLF,Luiz Balcers,24.0,
Band Cross-Over,matched,https://youtu.be/i5FBrmyt0wQ,1-Leg Band Crossover,BSR Physical Therapy,29.0,
Prisoner Squat,matched,https://youtu.be/UYbsgiiZgao,How to do a Prisoner Squat  | Proper Form & Technique | NASM,National Academy of Sports Medicine (NASM),19.0,
Dumbbell 3 Way Shoulder Raise,matched,https://youtu.be/BSpUNB4I6OA,Onnit Tutorials | Dumbbell 3-Way Shoulder Raise Exercise,Onnit,18.0,
Dumbbell Rotational Curl,matched,https://youtu.be/5FeMVdb2iWE,Dumbbell Rotational Curl,Performance Course,10.0,
Dumbbell Incline Bench Press (Hammer Grip),matched,https://youtu.be/jMQA3XtJSgo,Incline Dumbbell Bench Press - OPEX Exercise Library,OPEX Fitness,13.0,same video used for several exercises
Cable One-Arm Row,no_match,,,,,
Smith Machine Deadlift,matched,https://youtu.be/0cB0_SzqgBU,How To: Smith Machine Stiff-Legged Deadlift,MenoMojo,17.0,
Cable Incline Bicep Curl,matched,https://youtu.be/XVQBeug_9LU,How To Do Incline Bicep Curls,PureGym,10.0,
Hack Squat (Narrow Stance),matched,https://youtu.be/scs5XcsZuc8,How To Do Hack Squats On The Hack Squat Machine,PureGym,25.0,same video used for several exercises
Bench Hip Thrust,matched,https://youtu.be/42GAiTNacp0,Hip Thrust Platform Bench - Sidea Fitness,Sidea Fitness,28.0,
Scissor Kick,matched,https://youtu.be/aqMfWavH2X4,How To Do A SCISSOR KICK | Exercise Demonstration Video and Guide,Live Lean TV Daily Exercises,24.0,
Dumbbell One-Arm Lateral Raise,matched,https://youtu.be/D5Ip5TGtnWg,Shoulder Exercise - One Arm Dumbbell Lateral Raise Exercise,WarGym Tanda,6.0,
Dumbbell Alternating Preacher Curl,matched,https://youtu.be/kuQGbi1eYRU,Alternating Dumbbell Preacher Curls,My PT Hub,18.0,same video used for several exercises
Cable Elevated Row,no_match,,,,,
Dynamic Chest Stretch,matched,https://youtu.be/uqVbE135geY,Dynamic Chest Stretch by Cult Fit | Dynamic Stretching | Warm Up Exercises| Cult Fit | Cure Fit,wearecult,29.0,
Jumping Jacks,matched,https://youtu.be/uLVt6u15L98,How to do a Jumping Jack  | Proper Form & Technique | NASM,National Academy of Sports Medicine (NASM),14.0,
Barbell Seated Press,matched,https://youtu.be/TbILTPsqGoo,How To Seated Barbell Strict Press,Third Space London,14.0,
Superman,matched,https://youtu.be/g0Kr9Wd3CeQ,"Superman Hold Exercise | Form, Tips & Common Mistakes",FIT.nl,16.0,
Barbell Incline Bench Row,matched,https://youtu.be/l6Gi5rg0g-A,"Fitness Inc, Personal Training | Incline Bench Barbell Row",FRED WHITE Personal Training,11.0,
Machine Inverted Row,matched,https://youtu.be/hnVkRylmY04,Smith Machine Inverted Row,The Female Collective ,17.0,same video used for several exercises
Smith Machine Reverse Calf Raise,matched,https://youtu.be/sO1z-zhWG_E,Smith Machine Reverse Calf Raises   Exercise Videos & Guides   Bodybuilding com,how to lose weight with the keto diet,20.0,
Kettlebell Farmer's Carry,matched,https://youtu.be/Rj_HF9SHwe8,Farmer's Carry with Kettlebells,Girls Gone Strong | Women's Health & Fitness,26.0,
Barbell Calf Raise,matched,https://youtu.be/eJagmFMaL7I,BARBELL CALF RAISE,Strong With Stef,18.0,
Dual Cable Triceps Extension,matched,https://youtu.be/kWaYXzzehOY,Dual Cable Crossed Triceps Extension,Opus Body Lab,28.0,
Leg Pull-In,matched,https://youtu.be/4M9WAcIbLFE,Leg Pull Ins,Tampa Strength,20.0,
Tricep Push-Up,matched,https://youtu.be/4UXZtR-rIoY,Tricep Extension Push Up  | Fitter in :15 | ASICS,ASICS,15.0,
Cable Reverse Crossover,matched,https://youtu.be/qZlDovba6ik,How to: Reverse Cable Crossover,SATS Nordic,8.0,
Dumbbell Bent-Over Row (Palms in),matched,https://youtu.be/6gvmcqr226U,How To Do A Dumbbell Bent Over Row,PureGym,16.0,same video used for several exercises
Shoulder Stretch,no_match,,,,,
Machine Assisted Chin-Up,matched,https://youtu.be/EfDjbPFSb9w,Mastering Pull-Ups: Machine-Assisted Technique Short Tutorial,Strong and Safe Fitness,26.0,
Push-Up (Wide Hand),matched,https://youtu.be/WDIpL0pjun0,How to do a Push-Up | Proper Form & Technique | NASM,National Academy of Sports Medicine (NASM),14.0,same video used for several exercises
Dumbbell Seated Wrist Curl,matched,https://youtu.be/3rsKOL8scsU,Seated Dumbbell Palms-Up Wrist Curl,My PT Hub,14.0,same video used for several exercises
Barbell JM Press,matched,https://youtu.be/CdY-udsR2Mw,Barbell JM Press Exercise,PLAE,11.0,
Cross Body Crunch,matched,https://youtu.be/_w7ECPka6jk,Cross Body Crunch (Abs Workout),Global Fitness Training,11.0,
One-Arm Hang,matched,https://youtu.be/6HGqLR9qrcI,One-Arm Dead Hang |  By MovNat,MovNat,22.0,
Cable One-Arm High Curl,no_match,,,,,
Barbell Overhead Tricep Extension,matched,https://youtu.be/q5X9thiKofE,Barbell Triceps Overhead Extension,Renaissance Periodization,11.0,
Cable Dual Overhead Curl,no_match,,,,,
Bodyweight Side Lunge,no_match,,,,,
Weight Plate Rotation,matched,https://youtu.be/hk4FH8bKPk8,Weight Plate Rotation,Impact Fitness Oakland,12.0,
Jackknife Sit-Up,matched,https://youtu.be/oBahbD0Xh0k,Abs Exercises - JACKKNIFE SIT UP,I am Workoutic,25.0,
Smith Machine Split Squat,matched,https://youtu.be/wmfPdzqwbIY,How to: Bulgarian Split Squat - Smith Machine,SATS Nordic,11.0,same video used for several exercises
Cable Side Bend,matched,https://youtu.be/ykbAuxIDFiU,Obliques Cable Side Bend,Fit Gent,15.0,
Mountain Biking,no_match,,,,,
Weighted Hanging Knee Raise,matched,https://youtu.be/EUlYHwZoKfY,Weighted Hanging Knee Raise,Boulder Athletics,20.0,
Cable Rope Deltoid Row,no_match,,,,,
Quadricep Stretch,matched,https://youtu.be/kn6bj3MPZqs,Quadriceps Stretch,BC Chiropractic Association,25.0,
Dumbbell Single-Leg Cobra,matched,https://youtu.be/NmkqBhheGFM,How to do a Single-Leg Cobra to Hip Extension,National Academy of Sports Medicine (NASM),19.0,
Machine Hammer Curl,matched,https://youtu.be/XOEL4MgekYE,Hammer Curl,Renaissance Periodization,14.0,
Pendlay Row,matched,https://youtu.be/Wv7f0uIKh8o,How To Do A Pendlay Row,PureGym,11.0,
Machine Single-Leg Calf Press,matched,https://youtu.be/ugbEAgq47DI,"Calf Press in Leg Press Machine, Single Leg (calf exercise)",Affordable Workout Plans,17.0,
Dumbbell Hammer Shoulder Press,no_match,,,,,
EZ Bar French Press,matched,https://youtu.be/HtVsCD_j6Z4,Exercise First: EZ Bar French Press,Nicholas Matthes,22.0,same video used for several exercises
Plank with Shoulder Taps,matched,https://youtu.be/2SaHeEggeBY,Core Exercise for Low Back Pain! | Plank with Shoulder Taps,RehabFix,29.0,
Dumbbell Alternating Deltoid Raise,matched,https://youtu.be/GQTd82H75FM,Dumbbell alternating anterior deltoid raise,Aaron Agnew,12.0,
Dumbbell Prone Incline Shrug,matched,https://youtu.be/VELsYz89GnM,Dumbbell Incline Laying Prone Shrug Demo,AtYourDoorPT Alex,24.0,
Hip Extension (Standing),no_match,,,,,
Dumbbell Preacher Curl,matched,https://youtu.be/Zbs3ko8ycyg,How To Do Preacher Curls,PureGym,19.0,
Dumbbell Around the World,matched,https://youtu.be/LvVxHQOyiO4,BODY CULTURE - HOW TO: ALL AROUND THE WORLD DUMBBELL FLYS,Body Syndicate,25.0,
Box Jumps,matched,https://youtu.be/k7dmYdknbac,How To Do Box Jumps,PureGym,10.0,
Flutter Kick,matched,https://youtu.be/makJKOu-8ds,How to Perfect the Flutter Kick,SwimLifePro,27.0,
Kneeling Hip Flexor,matched,https://youtu.be/I6Tk4_dMdJE,Kneeling Hip Flexor Stretch With PPT,Andrew Dulak,25.0,
Dumbbell One-Arm Incline Lateral Raise,matched,https://youtu.be/X2knTOySeWQ,Dumbbell Incline One Arm Lateral Raise shoulders Exercise,Genemedics Health Institute,27.0,
Toe Touches,matched,https://youtu.be/9iEI95-eZWk,How To Do Toe Touches,PureGym,21.0,
Smith Machine Bench Press (Close Grip),matched,https://youtu.be/O5viuEPDXKY,Smith Machine Bench Press,Renaissance Periodization,12.0,same video used for several exercises
Cable Rear Lateral Raise,no_match,,,,,
Decline Bench Weighted Twist,matched,https://youtu.be/hLCJHv1n3BQ,Weighted Russian twist on decline bench,Tom Hutchinson PT,15.0,
Cable Standing Leg Curl,matched,https://youtu.be/hQOu7Qwv298,Cable Standing Leg Curl,Sears,17.0,
Dumbbell Bench Squat,no_match,,,,,
Barbell Wrist Curl (Palms Down),matched,https://youtu.be/vzYBpU_AK1A,female barbell wrist curl,MuscleWiki,16.0,
Dumbbell Decline Fly,matched,https://youtu.be/Mri8jOd5mKQ,How to Do Dumbbell Decline Flys,TJE Performance,23.0,
Glute Stretch,matched,https://youtu.be/A0_vGZe3fHw,Hip exercise - glute stretch,www.sportsinjuryclinic.net,24.0,
EZ Bar Incline Tricep Extension,matched,https://youtu.be/EKqyG87m6zw,"EXERCISE TUTORIAL | Tricep Extension - EZ Bar, Incline Bench",Josh Bowers,14.0,
Dumbbell Preacher Hammer Curl,matched,https://youtu.be/c8e5Bnv5G7U,HAMMER PREACHER CURLS BOTH ARMS,Tiffany Wilkerson Fitness,21.0,same video used for several exercises
Cable Standing Curl,matched,https://youtu.be/u9XtfyqeJd4,How To Do Standing Cable Bicep Curl | Exercise Demo,OriGym,17.0,
Barbell Pullover,matched,https://youtu.be/E4NQ5DfqwbU,Barbell Pullover,OPEX Fitness,16.0,
Dumbbell Alternating Tricep Kickback,matched,https://youtu.be/srHSUCH3iH8,Tricep Kickback Alternating Dumbbell,Functional Fitness,21.0,
Kettlebell Front Squat,matched,https://youtu.be/-TeEMXoHQPM,How to do a Kettlebell Front Squat  | Proper Form & Technique | NASM,National Academy of Sports Medicine (NASM),17.0,
Bodyweight Rear Lunge,matched,https://youtu.be/yU3kMJlau9U,Bodyweight rear lunge,Eric Northington,19.0,
Dumbbell One-Arm Wrist Curl (Pronated),no_match,,,,,
Weight Plate Wall Sit,matched,https://youtu.be/psq5CSAhG1s,Weight Plate Wall Sit,Adrian Allen,12.0,
Smith Machine Stiff-Leg Deadlift,matched,https://youtu.be/b0-dFJdTTh8,STIFF LEG DEADLIFT {smith machine},Fitdaniluu,18.0,
Dumbbell Bicep Curl (Reverse Grip),no_match,,,,,
Weight Plate Shrug,matched,https://youtu.be/U0Uu8SGzMMM,Plate Shrugs,Zach Mueller,11.0,
Dumbbell Shoulder Raise,matched,https://youtu.be/xagEKj2yDc8,Dumbbell Shoulder Front Raise,Functional Bodybuilding,17.0,
Cable Standing Row,matched,https://youtu.be/oTCJdN2p0ug,1 Arm Standing Cable Row with Rotation,Fieldwork Health,15.0,
Aerobics,no_match,,,,,
Wrist Roller,matched,https://youtu.be/KCqs-5eWeRU,Wrist Roller Strengthening,Whole Body Health Physical Therapy,26.0,
Tricep Stretch,matched,https://youtu.be/zzvDO56B0HE,Stretching Exercises - the tricep stretch,www.sportsinjuryclinic.net,24.0,
Dumbbell One-Arm Shoulder Press,no_match,,,,,
Machine Assisted Pull-Up (Hammer Grip),matched,https://youtu.be/O6BytlyPv1Y,Assisted Neutral Grip Pull-up,Elite Health & Fitness,25.0,
Kettlebell Suitcase Carry,matched,https://youtu.be/iq5D5SU2Oq4,How To Do Kettlebell Suitcase Carry | Exercise Demo,OriGym,19.0,
Cobra,matched,https://youtu.be/Nd3j6Avtv6Q,COBRA STRETCH,Atomic Athlete,16.0,
Decline Bench Leg Raise,matched,https://youtu.be/Ts4UXby8IZs,How to do Decline Bench Leg Raises,Fitness Evolution,16.0,
Barbell Seated Tricep Extension,no_match,,,,,
Dumbbell Tate Press,matched,https://youtu.be/LX7VB8xY90E,Dumbbell Tate Press – Build Triceps Without Elbow Pain,Train With Cuz,23.0,
Extended Arm Child Pose,matched,https://youtu.be/lPPI9W9TvSE,How to do extended Arms Child Pose. #Shorts,Green Living Path Alyogi,8.0,
Cable Reverse Grip Tricep Extension,matched,https://youtu.be/G-fDL9CA300,How to do Cable Tricep Extension - Reverse Grip | PFC Club,PFC Club,20.0,
Machine One-Arm Pulldown,no_match,,,,,
Dumbbell Seated Front Raise,matched,https://youtu.be/h4Jvm80kXSw,Dumbbell Seated Front Raise - Proper Form & Technique [4K],Steev,7.0,same video used for several exercises
Trap Bar Shrugs,matched,https://youtu.be/1XlxV6y6kYI,Trap Bar Shrugs Exercise,Critical Bench Compound,11.0,
Rotational Crunch,matched,https://youtu.be/fbCPab_WzNU,rotational crunch,Pat Tingle,23.0,same video used for several exercises
Smith Machine Single-Leg Calf Raise,matched,https://youtu.be/ymsn3rXRswo,Single Leg Calf Raise on Smith Machine,43fitness,17.0,
Barbell Behind the Back Shrug,matched,https://youtu.be/5yz9ht7jA9I,Behind the Back Barbell Shrug,FITASTIC,8.0,
Dumbbell Bent-Over Row (Palm in),matched,https://youtu.be/6gvmcqr226U,How To Do A Dumbbell Bent Over Row,PureGym,16.0,same video used for several exercises
Cable Decline Chest Fly,matched,https://youtu.be/jIt8nG02Ss0,Decline Cable Chest Fly,FITASTIC,9.0,
World's Greatest Stretch,matched,https://youtu.be/CXnge363CH8,Worlds Greatest Stretch with Thoracic Rotation,Functional Bodybuilding,17.0,
Boxing,no_match,,,,,
Cable Flat Bench Fly,matched,https://youtu.be/8JaxPhzYPWM,Flat Bench Crossover Flys With Cable,Chunk Fitness,22.0,
Barbell Bench Press (Wide Grip),matched,https://youtu.be/CjHIKDQ4RQo,How To Do A Barbell Bench Press Correctly,PureGym,16.0,
Bodyweight Wall Squat,matched,https://youtu.be/aKBxiKs9n8A,How To Do A WALL SQUAT | Exercise Demonstration Video and Guide,Live Lean TV Daily Exercises,28.0,
Cable Behind the Back Wrist Curl,matched,https://youtu.be/3qgE3rPV5VE,How To Do: Cable Wrist Curl - Behind Back Underhand Grip | Arm Workout Exercise,Fitway - Workout Trainer,26.0,
Hip Stretch,matched,https://youtu.be/SCU2gOzpri4,Cross Body Hip Stretch,SPECTRUM Performance,8.0,
Cable Incline Press,matched,https://youtu.be/5pC1skpc7e0,Exercise Tutorial - Incline Chest Press (Cable),Unite Coaching,27.0,same video used for several exercises
Front to Back Leg Swings,matched,https://youtu.be/E68-pMl1Im8,Leg Swings   Front to back,Live Being Fit,26.0,
Smith Machine Decline Bench Press,matched,https://youtu.be/jduXuDxKwn4,Decline Smith Machine Bench Press,Snap Fitness 24/7,17.0,same video used for several exercises
Bench Crunch,matched,https://youtu.be/RVrBJAPo868,Bench Crunch,OPEX Fitness,15.0,
Glute Bridge March,matched,https://youtu.be/dVjj5RMCg4Y,Glute Bridge March,IPA Physio,28.0,
Wall Calf Stretch,matched,https://youtu.be/73Wpb9TlP4k,Wall Calf Stretch,Performance Course,15.0,
Barbell Curl (Close Grip),matched,https://youtu.be/LeAV0-Uzu0c,Barbell Curl - Short Demo,TrainHeroic,24.0,
Side Bridge,matched,https://youtu.be/xMtCZE6rEiA,Exercise Library: Side Bridges,DAREBEE,5.0,
Barbell Ab Rollout,matched,https://youtu.be/80wyM461lec,Barbell Ab Rollout,OPEX Fitness,14.0,
Kettlebell Figure Eight,no_match,,,,,
Cable Wrist Curl (Reverse Grip),matched,https://youtu.be/WVAaKJvToe0,Cable Wrist Curl,Renaissance Periodization,12.0,same video used for several exercises
Chest and Shoulder Stretch,no_match,,,,,
Dumbbell One-Arm Preacher Hammer Curl,matched,https://youtu.be/c8e5Bnv5G7U,HAMMER PREACHER CURLS BOTH ARMS,Tiffany Wilkerson Fitness,21.0,same video used for several exercises
Kettlebell Sumo High Pull,matched,https://youtu.be/E0rZyP0-xAM,Kettlebell Sumo Deadlift High Pull - OPEX Exercise Library,OPEX Fitness,13.0,
Weight Plate Neck Flexion (Supine),matched,https://youtu.be/oIj6OxLJc0Y,Plate Neck Flexion,BeyondStrengthDC,25.0,
Cable Shoulder Press,matched,https://youtu.be/G1qWo8YjDPE,Cable Shoulder Press,Ruth Maleski,22.0,
Dumbbell Incline Bench Press (Palms in),matched,https://youtu.be/jMQA3XtJSgo,Incline Dumbbell Bench Press - OPEX Exercise Library,OPEX Fitness,13.0,same video used for several exercises
Cable Oblique Crunch,no_match,,,,,
Barbell Romanian Deadlift From Deficit,no_match,,,,,
Tuck Crunch,matched,https://youtu.be/uAVwnCOuGuM,How To Tuck Crunch,2ExtremesFitness,25.0,
Reverse Hyper (Flat Bench),matched,https://youtu.be/yEeSE_Sz4Nw,Reverse Hyperextension on Box,M-Power Fitness,11.0,
Seated Floor Hamstring Stretch,no_match,,,,,
Abdominal Pendulum,matched,https://youtu.be/bwV3-gTy4Aw,Abdominal Pendulum,Stefan Roobol,11.0,
Dumbbell Supinated One-Arm Wrist Curl,no_match,,,,,
Machine Inverted Row (Feet Elevated),matched,https://youtu.be/hnVkRylmY04,Smith Machine Inverted Row,The Female Collective ,17.0,same video used for several exercises
Barbell Landmine Double Arm Row,matched,https://youtu.be/rc6NaWBruJ4,Landmine Double Arm Row (Holding Barbell),Summit Performance and Therapy,13.0,
Kettlebell Thruster,matched,https://youtu.be/SJ3kBTVlfq8,Be Active - Workout Of The Day Exercises - Kettlebell Thruster,Be Active,17.0,
Cable Incline Pulldown (Supine),matched,https://youtu.be/uhv6IxggwhA,Incline bench Lat pull down on cable,Aaron Agnew,7.0,
Dumbbell Lateral Raise (Prone),matched,https://youtu.be/XPPfnSEATJA,How to do a Dumbbell Lateral Raise,National Academy of Sports Medicine (NASM),19.0,same video used for several exercises
Cable Drag Curl,matched,https://youtu.be/cJPAVGJwc3Q,How To Perform A Cable Drag Curl,Project Blaze™️,29.0,
Side to Side Leg Swings,matched,https://youtu.be/6aw8CAH_65Y,Side Leg Swings Tutorial - Proper Form and Technique,Runna,20.0,
Bicep Stretch,matched,https://youtu.be/7mNxV2cqIXM,Arm and Elbow Stretches - assisted bicep rehabilitation exercise,www.sportsinjuryclinic.net,21.0,
Dumbbell External Rotation,matched,https://youtu.be/t5Ft8OMG_D8,Dumbbell External Rotation,OPEX Fitness,14.0,
Barbell Bench Squat,matched,https://youtu.be/RH4NoRq7pDs,Barbell Back Squat to Bench,Sunshine Coast Rehab + Exercise Physiology ,14.0,
Walking High Knees,matched,https://youtu.be/ewVnQSJGzBw,Walking High Knees,Vinh Tran,11.0,
Cat Stretch,matched,https://youtu.be/LIVJZZyZ2qM,Cat - Cow Stretch,Dr. Dawn,15.0,same video used for several exercises
Donkey Calf Raise,matched,https://youtu.be/WbBJmFQsIMA,Bodyweight Donkey Calf Raises,Functional Bodybuilding,14.0,
Kettlebell One-Arm Row,matched,https://youtu.be/MB197PxxR0o,One arm bent over Kettlebell Row Demo,Joe Daniels Kettlebell Muscle Gain ,25.0,
Cable Reverse Wood Chop,matched,https://youtu.be/lQH7qfR3rZ8,Reverse Wood Chop,Surf Strength Coach,12.0,
Cable Preacher Curl,matched,https://youtu.be/OslO2-OvdYo,Exercise Tutorial - Unilateral Cable Preacher Curl,josh cowan,28.0,
Dumbbell Bent-Over Tricep Extension,matched,https://youtu.be/7YWlPWCn7Wg,Bent over row + Tricep extension,Anne Craig,16.0,
Dumbbell Seated Alternating Shoulder Press,matched,https://youtu.be/spRN-MvJO-A,Seated Alternating Top Dumbbell Shoulder Press Exercise,PLAE,10.0,
Weighted Bench Dip,matched,https://youtu.be/HEXGNzlnw5o,How To Do Weighted Bench Dips | Exercise Demo,OriGym,14.0,
Barbell Rear Delt Row,matched,https://youtu.be/PkhN_YyoWLI,Barbell Rear Delt Rows,My PT Hub,9.0,
Machine Vertical Row (Reverse Grip),matched,https://youtu.be/jBlunMD5MZs,Vertical Row Machine How-To,Raintree Athletic Club,23.0,same video used for several exercises
Smith Machine Good Morning,matched,https://youtu.be/mvkPUcxvwjc,Exercise Tutorial | Good Mornings Smith Machine,Evgeniia Kaplina,20.0,
EZ Bar Tricep Extension (Close Grip),matched,https://youtu.be/a6wtHEbcORQ,How To Do Underhand Tricep Extension EZ Bar,TJE Performance,23.0,same video used for several exercises
Hamstring Stretch,matched,https://youtu.be/dgerF9P-m7M,PNF Hamstring Stretch,[P]rehab,16.0,
90/90 Hamstring Stretch,matched,https://youtu.be/h_yZV27H684,How to do a Static 90-90 Hamstring Stretch,National Academy of Sports Medicine (NASM),28.0,
Barbell Overhead Front Raise,no_match,,,,,
Toe Touch Stretch,matched,https://youtu.be/uMffmPAOR2s,Toe Touches (hamstring stretch!),Woodhaven Health,17.0,
Parallel Bar Hip Flexion,matched,https://youtu.be/FtqZvSzP2uU,Parallel Straight Leg Hip Flexion with Knee Hinge and Solo Tib Bar,AccelerateSP,8.0,
Barbell Landmine Squat,matched,https://youtu.be/oRVwUtJXLIQ,How To Do Landmine Squat,Ian Nimblett,20.0,
Barbell Bicep Drag Curl,matched,https://youtu.be/8BiXi7-yp94,💪 Barbell Drag Curl Tutorial | Maximize Bicep Isolation with Perfect Form,Alex McBrairty | Psych-Based Fitness & Friendship,25.0,
Standing Trunk Rotation,matched,https://youtu.be/dECwx-ga6Po,How To Do A Standing Trunk Rotation,Fifty Plus Fitness,25.0,
Chin-Up (Mixed Grip),matched,https://youtu.be/2un9lmE62Kg,How To: Chin Up Jawline Exercise,Live Lean TV Daily Exercises,27.0,same video used for several exercises
Barbell Preacher Curl (Overhand),matched,https://youtu.be/h5m3IZ7nV94,Barbell Preacher Curl,Kas Kuvvet,14.0,
Forearm Plank with Hip Abduction,matched,https://youtu.be/0cP8QcBMGf4,Forearm Plank with Hip Abduction,E3 Rehab Exercise Library,12.0,
Seated Bench Leg Pull-In,matched,https://youtu.be/owL_QDF3c5A,Abdominals   Seated Flat Bench Leg Pull In   Exercises Guide,GYM,21.0,
Decline Bench Rotational Sit-Up,matched,https://youtu.be/Wm6D-n-CbeY,Decline Bench Rotation Sit Up - I’MBITIOUS Fitness,I'MBITIOUS Exercises,13.0,
Barbell Lateral Lunge,matched,https://youtu.be/VTtLrBvHoJ8,Landmine Lateral Lunge,Testosterone Nation,13.0,
Kettlebell Alternating Floor Press,matched,https://youtu.be/Uf1jY-575lo,Alternating Kettlebell Floor Press,Functional Bodybuilding,15.0,
Weight Plate Neck Extension (Prone),matched,https://youtu.be/UDciopkHHYc,Neck Extension with Plate,Trinity S&C,22.0,
Lateral Stretch,no_match,,,,,
Barbell Single-Leg Squat,matched,https://youtu.be/9HNd6tmthjE,Barbell Single Leg Squat,FITASTIC,8.0,
Machine Seated Single-Leg Calf Raise,matched,https://youtu.be/4NUJeFJ14F4,Single Leg Seated Calf Raise Machine,OPEX Fitness,10.0,
Cable V-Bar Row,matched,https://youtu.be/f6OpZidgi0c,Cable Bent Over Rows (V-Bar),True Fitness Windsor,13.0,
Barbell Kneeling Wrist Curl (Palms Up),matched,https://youtu.be/3UomiPXmkO4,Kneeling Barbell Wrist Flexion Curls,Manukau Institute of Technology School of Sport,29.0,same video used for several exercises
Hip Flexor Stretch,no_match,,,,,
Barbell Landmine One-Arm Row,no_match,,,,,
Kettlebell Row,matched,https://youtu.be/DLzaeTLcZVg,3 Point Kettlebell Row,GENAVIX HealthyCARE Network,16.0,
Cable Rope Pullover (Supine),matched,https://youtu.be/U4-4TxGINjk,Cable rope pullovers,Nell Nation Fitness,12.0,
Handstand Push-Up,matched,https://youtu.be/EMYzJyBY6X0,Handstand Push-up (wall assisted),Maximum Potential Calisthenics,25.0,
Dumbbell Reverse Fly with External Rotation,matched,https://youtu.be/VghmZ1AC0js,BENT OVER REVERSE FLY WITH EXTERNAL ROTATION,FOMO BY WHIZZ,13.0,
Dumbbell Seated Press (Palms In),matched,https://youtu.be/HzIiNhHhhtA,Seated Dumbbell Shoulder Press,Renaissance Periodization,13.0,
Dumbbell Reverse Wrist Curl,matched,https://youtu.be/osYPwlBiCRM,Dumbbell Reverse Wrist Curl,Ellipse Athletics ,11.0,
Barbell Pullover and Press,matched,https://youtu.be/sttAHDQt_mI,Barbell Pullover To Press,Gym visual,7.0,
Barbell Clean and Jerk,matched,https://youtu.be/tuaqqBZzLsk,Rich Froning | Power Clean and Jerk with a Barbell,Mayhem Athlete,19.0,same video used for several exercises
Kettlebell Pistol Squat,matched,https://youtu.be/3dMMJMSpFV0,Kettlebell Pistol Squat,John Parker,26.0,
Straddle Stretch,matched,https://youtu.be/HZRZ18fDleg,CTM - Straddle Stretch,CompTrain Masters,14.0,
Plyo Push-Up,matched,https://youtu.be/GNVQos5I0qk,Plyometric Push Up - OPEX Exercise Library,OPEX Fitness,13.0,
Cable Crunch Kneeling Rotation,matched,https://youtu.be/nuVY2mjt4Cg,High Kneeling Cable Crunch Rotations,InformedPerformance,20.0,
